x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
22.5,-0.5,-12.758788852941152,-415.84884145503,416.04452361794716,2.725884666566855,-2.6531675010067506,0.043494744491792324,-0.2766021524213722
22.75,-0.5,-12.762352500283793,-422.23128272469546,422.42411596958243,2.28336161603405,-2.243117889444715,0.03151548276583255,-0.18655722509390957
23.0,-0.5,-12.765030345207494,-428.6149914154222,428.80503362921996,1.6933525477484253,-1.6485241528995833,0.0139781466632296,-0.20015867513451385
23.25,-0.5,-12.767127826587432,-434.9998502754082,435.18716581784435,1.2949169291667892,-1.25580857399902,-0.005678046855953767,-0.18082429441116174
23.5,-0.5,-12.76868423611415,-441.38552900746544,441.5701807349786,1.0033199293975439,-0.952750654003455,0.007463983689584562,-0.16444734988879228
23.75,-0.5,-12.76988136442612,-447.77179188959815,447.953845258731,0.7408980343377585,-0.7091224070131866,0.006116402795220419,-0.11689106379154965
24.0,-0.5,-12.770623350033553,-454.158358644962,454.33787377659183,0.45201152642938186,-0.41206102223379193,-8.462751579587773e-05,-0.10442239193864107
24.25,-0.5,-12.77105794138397,-460.5451353255833,460.72217397581596,0.2673158122583214,-0.23283066280383466,-0.006794133385505068,-0.07780495811478731
24.5,-0.5,-12.771272789566583,-466.9319478478828,467.10657170466294,0.14087727560895003,-0.11033808746267715,-0.00592161510128365,-0.05153074582326828
24.75,-0.5,-12.771339758189903,-473.3187042621869,473.49097449017404,0.051444613584672914,-0.029203784049755332,-0.005481414194708523,-0.024170588455300145
25.0,-0.25,-6.38471644742523,-479.70536478618607,479.74785211479775,0.03912377283442411,-0.008015482762801769,-0.007041150635198627,-0.019848861622853202
25.0,0.0,0.0018510619697079663,-479.7053921241934,479.70539212776475,0.07412275773783782,-4.812660878696354e-05,-0.05010290016042365,-0.02955617220725168
25.0,0.25,6.388419401033852,-479.7054905467297,479.7480271591767,0.10448023732622727,0.007928559031374082,-0.09271217186574628,-0.019611001606588647
24.75,0.5,12.77500667169648,-473.318953309157,473.4913223673036,0.12248759224319379,0.02924325360881333,-0.09587503709774586,-0.02396596540831497
24.5,0.5,12.774900000977654,-466.9322035352166,467.1069264828857,0.20701845775022132,0.12041587603649513,-0.09314531981752201,-0.051056340996142445
24.25,0.5,12.774642012583259,-460.54537009825435,460.7225080213552,0.325332042862724,0.23295854479643643,-0.09504245900419432,-0.0798701740911393
24.0,0.5,12.774156975631948,-454.1586111435264,454.33822551294855,0.5154963219394002,0.42771436499758236,-0.09502461731323227,-0.10340110575139777
